#      time         order        tair      
  722.9293156       1.0000       3.1565    
  724.4293156       1.0000       3.2571    
  725.9293156       1.0000       3.0141    
  727.4293156       1.0000       2.8859    
  728.9293156       1.0000       3.0929    
  730.4293156       1.0000       3.6147    
  731.9293156       1.0000       4.2717    
  733.4293156       1.0000       4.4141    
  734.9293156       1.0000       4.2071    
  736.4293156       1.0000       4.1712    
  737.9293156       1.0000       3.5353    
  739.4293156       1.0000       3.9717    
  740.9293156       1.0000       4.6647    
  742.4293156       1.0000       5.2288    
  743.9293156       1.0000       5.8647    
  744.5321974       1.0000       6.1661    
  744.5321974       1.0000       6.1661    
  746.9321974       1.0000       7.1661    
  748.4321974       1.0000       8.0297    
  749.9321974       1.0000       8.2000    
  751.4321974       1.0000       7.8000    
  752.9321974       1.0000       7.8932    
  754.4321974       1.0000       8.4864    
  755.9321974       1.0000       8.9729    
  757.4321974       1.0000       9.6297    
  758.9321974       1.0000       9.5203    
  760.4321974       1.0000       7.1653    
  761.8222411       1.0000       5.7889    
  763.3222411       1.0000       5.6545    
  764.8222411       1.0000       7.1400    
  766.3222411       1.0000       6.8455    
  767.8222411       1.0000       5.0311    
  768.5350406       1.0000       4.7465    
  768.5350406       1.0000       4.7465    
  770.9350406       1.0000       4.4130    
  772.4350406       1.0000       5.9130    
  773.9350406       1.0000       5.8935    
  775.4350406       1.0000       6.8870    
  776.9350406       1.0000       7.0935    
  778.4350406       1.0000       7.2000    
  779.9350406       1.0000       7.4805    
  781.4350406       1.0000       7.8305    
  782.9350406       1.0000       8.4675    
  784.4350406       1.0000       8.8130    
  785.9350406       1.0000       8.7935    
  787.4350406       1.0000       8.5695    
  788.9350406       1.0000       8.5870    
  790.4350406       1.0000       8.7695    
  791.9350406       1.0000       8.6000    
  792.5369286       1.0000       8.6000    
  792.5369286       1.0000       8.6000    
  794.9369286       1.0000       8.6126    
  796.4369286       1.0000       8.5311    
  797.9369286       1.0000       9.0748    
  799.4369286       1.0000       9.2748    
  800.9369286       1.0000       9.9685    
  802.4369286       1.0000       10.475    
  803.9369286       1.0000       10.887    
  805.4369286       1.0000       11.206    
  806.9369286       1.0000       11.787    
  808.4369286       1.0000       11.369    
  809.9369286       1.0000       11.294    
  811.4369286       1.0000       10.969    
  812.9369286       1.0000       10.800    
  814.4369286       1.0000       11.131    
  815.9369286       1.0000       11.206    
  816.5389728       1.0000       11.308    
  816.5389728       1.0000       11.308    
  818.9389728       1.0000       9.9549    
  820.4389728       1.0000       9.5488    
  821.9389728       1.0000       9.6634    
  823.4389728       1.0000       9.8122    
  824.9389728       1.0000       8.2915    
  826.4389728       1.0000       7.0000    
  827.9389728       1.0000       7.0000    
  829.4389728       1.0000       7.0439    
  830.9389728       1.0000       7.0061    
  832.4389728       1.0000       6.0000    
  833.9389728       1.0000       6.1878    
  835.4389728       1.0000       6.4073    
  836.9389728       1.0000       5.9549    
  838.4389728       1.0000       6.5927    
  839.9389728       1.0000       6.2939    
  840.5318508       1.0000       6.5127    
  840.5318508       1.0000       6.5127    
  842.9318508       1.0000       5.2681    
  844.4318508       1.0000       4.8704    
  845.9318508       1.0000       4.9796    
  847.4318508       1.0000       4.9136    
  848.9318508       1.0000       4.4273    
  850.4318508       1.0000       5.3296    
  851.9318508       1.0000       5.8727    
  853.4318508       1.0000       6.1296    
  854.9318508       1.0000       6.4864    
  856.4318508       1.0000       5.8704    
  857.8521112       1.0000       5.1035    
  859.3259155       1.0000       4.4696    
  860.8259155       1.0000       3.5393    
  862.3259155       1.0000       2.8630    
  863.8259155       1.0000       3.7781    
  864.5428033       1.0000       3.7914    
  864.5428033       1.0000       3.7914    
  866.9428033       1.0000       4.3657    
  868.4428033       1.0000       3.4328    
  869.9428033       1.0000       3.7886    
  871.4428033       1.0000       4.4343    
  872.9428033       1.0000       4.4771    
  874.4428033       1.0000       6.1100    
  875.9428033       1.0000       6.8771    
  877.4428033       1.0000       6.3000    
  878.9428033       1.0000       6.3000    
  880.4428033       1.0000       5.1472    
  881.9428033       1.0000       3.1629    
  883.4428033       1.0000       2.0328    
  884.9428033       1.0000       1.5400    
  886.4428033       1.0000      5.71967E-02
  886.5400000       1.0000     -4.00000E-02
  886.5400000       1.0000     -4.00000E-02
  888.1281133       1.0000     -0.29217    
  888.5431499       1.0000     -0.91472    
  888.5431499       1.0000     -0.91472    
  889.8136405       1.0000      -2.2509    
  891.0841311       1.0000      -3.7252    
  892.5841311       1.0000      -3.9416    
  894.0841311       1.0000      -2.6149    
  895.5841311       1.0000      -1.1841    
  896.9929041       1.0000      8.79369E-02
  896.9929041       1.0000      8.79369E-02
  899.0256890       1.0000       2.0180    
  899.8627889       1.0000       2.6040    
  900.9202322       1.0000       2.9761    
  902.0841146       1.0000       2.9411    
  903.0990175       1.0000       2.2802    
  904.5990175       1.0000       1.6807    
  905.9213296       1.0000       1.0315    
  907.4213296       1.0000      0.76853    
  908.9213296       1.0000       1.0000    
  910.4213296       1.0000     -2.13296E-02
  910.4213296       1.0000     -2.13296E-02
  911.7606894       1.0000     -0.37179    
  912.5454459       1.0000     -0.24546    
  912.5454459       1.0000     -0.24546    
  913.1090892       1.0000     -0.11273    
  913.2900000       1.0000      3.20000E-02
  913.2900000       1.0000      3.20000E-02
  913.7409147       1.0000      0.39273    
  914.1918293       1.0000      0.31226    
  914.4464275       1.0000     -6.96413E-02
  914.4464275       1.0000     -6.96413E-02
  915.1678910       1.0000     -0.93358    
  915.8893544       1.0000      -1.0779    
  917.3322813       1.0000     -0.76646    
  918.8322813       1.0000      -2.1484    
  920.3322813       1.0000      -3.1332    
  921.8322813       1.0000     -0.37024    
  921.9792326       1.0000      0.12939    
  921.9792326       1.0000      0.12939    
  924.2879156       1.0000       2.5440    
  925.4088755       1.0000       2.8182    
  926.9088755       1.0000       2.1547    
  928.4088755       1.0000      0.93201    
  929.2752941       1.0000     -6.80000E-02
  929.2752941       1.0000     -6.80000E-02
  931.0688300       1.0000      -2.1275    
  932.3010633       1.0000      -2.2290    
  933.6535951       1.0000      -1.9922    
  935.1535951       1.0000      -2.7690    
  936.5454405       1.0000      -3.1546    
  936.5454405       1.0000      -3.1546    
  938.5170139       1.0000      -4.5415    
  940.0170139       1.0000      -2.4119    
  941.5170139       1.0000      -3.8755    
  943.0170139       1.0000      -4.8983    
  944.5170139       1.0000      -4.0762    
  944.7988955       1.0000      -3.6815    
  944.7988955       1.0000      -3.6815    
  945.6421602       1.0000     -0.95979    
  945.8965643       1.0000      6.94421E-03
  945.8965643       1.0000      6.94422E-03
  946.5711760       1.0000       1.1425    
  947.2457877       1.0000       1.8966    
  948.3202153       1.0000       2.7242    
  949.3786867       1.0000       3.5029    
  950.7476821       1.0000       2.9532    
  952.2476821       1.0000       2.8275    
  953.7476821       1.0000       1.1028    
  954.5793293       1.0000     -6.89940E-02
  954.5793293       1.0000     -6.89940E-02
  955.6587081       1.0000      -1.2928    
  956.7380868       1.0000     -0.93572    
  957.8501943       1.0000     -0.61498    
  959.3501943       1.0000     -0.98988    
  960.5464605       1.0000      -1.2011    
  960.5464605       1.0000      -1.2011    
  962.2734664       1.0000      -3.0735    
  963.7734664       1.0000      -1.5569    
  965.2734664       1.0000      -1.3931    
  966.7734664       1.0000      -1.4890    
  968.2734664       1.0000      -2.1702    
  968.9282931       1.0000      5.61966E-02
